roll no.,name,science,math,english,nepali,attendance,study_hours
123,Gaurav Karki,59.0,74.0,79.0,51.0,69.0,3.0
124,Sandeep Sharma,57.0,41.0,74.0,65.0,50.0,6.0
125,Ramesh Sharma,999.0,43.0,74.0,58.0,54.0,4.0
126,Samikshya Tamang,46.0,42.0,41.0,87.0,65.0,3.0
127,Aarati Maharjan,69.0,77.0,80.0,88.0,57.0,2.0
128,Pooja Thapa,54.0,57.0,63.0,64.0,84.0,3.0
129,Maya Maharjan,91.0,67.0,59.0,74.0,65.0,5.0
130,Kiran Subedi,99.0,46.0,59.0,87.0,,4.0
131,Sita Oli,85.0,96.0,57.0,64.0,97.0,2.0
132,Nabin Karki,59.0,47.0,57.0,93.0,100.0,5.0
133,Hari Shrestha,78.0,86.0,99.0,74.0,62.0,2.0
134,Bishal Sharma,91.0,66.0,50.0,76.0,59.0,5.0
135,Krishna Shrestha,48.0,68.0,75.0,44.0,51.0,3.0
136,Jyoti Karki,58.0,98.0,76.0,95.0,81.0,4.0
137,Sunita Sharma,53.0,99.0,49.0,72.0,79.0,4.0
138,Ishwar Shrestha,89.0,60.0,63.0,99.0,67.0,3.0
139,Esha Shrestha,72.0,56.0,63.0,54.0,88.0,5.0
140,Suresh Adhikari,57.0,44.0,71.0,91.0,96.0,4.0
141,Niranjan Shrestha,99.0,57.0,50.0,91.0,66.0,1.0
142,Anjali Poudel,50.0,77.0,57.0,48.0,78.0,5.0
143,Gaurav Gurung,54.0,54.0,59.0,82.0,54.0,4.0
144,Sandeep Karki,93.0,91.0,57.0,67.0,94.0,6.0
145,Ramesh Subedi,82.0,55.0,57.0,80.0,85.0,2.0
146,Samikshya Joshi,98.0,80.0,93.0,88.0,54.0,4.0
147,Aarati Shrestha,42.0,90.0,45.0,72.0,95.0,3.0
148,Pooja Thapa,48.0,74.0,41.0,79.0,53.0,6.0
149,Maya Thapa,69.0,95.0,73.0,56.0,,6.0
150,Kiran Tamang,89.0,94.0,48.0,85.0,56.0,6.0
151,Sita Joshi,46.0,48.0,88.0,56.0,58.0,2.0
152,Nabin Sharma,95.0,44.0,60.0,62.0,69.0,2.0
153,Hari Poudel,50.0,99.0,76.0,71.0,72.0,3.0
154,Bishal Sharma,60.0,83.0,66.0,76.0,62.0,6.0
155,Krishna Subedi,40.0,89.0,97.0,44.0,71.0,1.0
156,Jyoti Karki,59.0,85.0,46.0,58.0,76.0,2.0
157,Sunita Pradhan,81.0,62.0,58.0,95.0,72.0,3.0
158,Ishwar Sharma,51.0,75.0,44.0,48.0,94.0,6.0
159,Esha Subedi,90.0,83.0,44.0,51.0,96.0,6.0
160,Suresh Karki,62.0,82.0,45.0,95.0,65.0,2.0
161,Niranjan Maharjan,41.0,88.0,44.0,65.0,99.0,6.0
162,Anjali Adhikari,48.0,73.0,49.0,57.0,98.0,1.0
163,Gaurav Karki,69.0,66.0,81.0,42.0,85.0,3.0
164,Sandeep Sharma,96.0,65.0,63.0,55.0,87.0,1.0
165,Ramesh Sharma,44.0,98.0,49.0,85.0,93.0,3.0
166,Samikshya Tamang,68.0,41.0,77.0,53.0,83.0,5.0
167,Aarati Maharjan,97.0,42.0,50.0,71.0,85.0,2.0
168,Pooja Thapa,75.0,98.0,49.0,88.0,79.0,2.0
169,Maya Maharjan,97.0,94.0,49.0,85.0,73.0,5.0
170,Kiran Subedi,43.0,77.0,90.0,46.0,73.0,1.0
171,Sita Oli,99.0,57.0,63.0,65.0,79.0,4.0
172,Nabin Karki,57.0,47.0,67.0,78.0,92.0,1.0
173,Hari Shrestha,95.0,84.0,92.0,44.0,85.0,6.0
174,Bishal Sharma,40.0,84.0,80.0,63.0,63.0,2.0
175,Krishna Shrestha,46.0,55.0,50.0,47.0,60.0,3.0
176,Jyoti Karki,84.0,54.0,69.0,45.0,91.0,6.0
177,Sunita Sharma,77.0,69.0,40.0,78.0,79.0,4.0
178,Ishwar Shrestha,64.0,49.0,78.0,92.0,93.0,3.0
179,Esha Shrestha,77.0,67.0,77.0,93.0,92.0,2.0
180,Suresh Adhikari,90.0,82.0,42.0,75.0,76.0,1.0
181,Niranjan Shrestha,51.0,92.0,58.0,95.0,95.0,3.0
182,Anjali Poudel,71.0,76.0,59.0,51.0,98.0,1.0
183,Gaurav Gurung,83.0,57.0,43.0,62.0,99.0,1.0
184,Sandeep Karki,83.0,96.0,99.0,40.0,93.0,3.0
185,Ramesh Subedi,68.0,54.0,41.0,92.0,75.0,3.0
186,Samikshya Joshi,79.0,63.0,89.0,76.0,76.0,4.0
187,Aarati Shrestha,99.0,60.0,96.0,57.0,98.0,5.0
188,Pooja Thapa,66.0,98.0,65.0,47.0,93.0,2.0
189,Maya Thapa,94.0,91.0,67.0,52.0,99.0,4.0
190,Kiran Tamang,78.0,57.0,,60.0,91.0,3.0
191,Sita Joshi,65.0,92.0,79.0,63.0,51.0,3.0
192,Nabin Sharma,47.0,86.0,61.0,97.0,96.0,3.0
193,Hari Poudel,43.0,41.0,90.0,83.0,64.0,5.0
194,Bishal Sharma,73.0,49.0,57.0,43.0,93.0,4.0
195,Krishna Subedi,60.0,83.0,47.0,74.0,91.0,6.0
196,Jyoti Karki,80.0,68.0,89.0,62.0,74.0,1.0
197,Sunita Sharma,63.0,74.0,41.0,43.0,88.0,1.0
198,Ishwar Shrestha,47.0,74.0,63.0,74.0,88.0,3.0
199,Esha Shrestha,67.0,46.0,42.0,54.0,93.0,5.0
200,Suresh Adhikari,94.0,62.0,81.0,87.0,62.0,3.0
